Energy(eV) DOS(1/eV/m^3) DOS_Norm(CodeUnits)
0.376 5.49264e+26 0.0718559
0.377 5.49994e+26 0.0719514
0.378 5.50723e+26 0.0720468
0.379 5.51451e+26 0.072142
0.38 5.52178e+26 0.0722371
0.381 5.52904e+26 0.0723321
0.382 5.53629e+26 0.072427
0.383 5.54353e+26 0.0725217
0.384 5.55076e+26 0.0726163
0.385 5.55798e+26 0.0727108
0.386 5.5652e+26 0.0728052
0.387 5.5724e+26 0.0728994
0.388 5.5796e+26 0.0729936
0.389 5.58678e+26 0.0730876
0.39 5.59396e+26 0.0731815
0.391 5.60113e+26 0.0732752
0.392 5.60828e+26 0.0733689
0.393 5.61543e+26 0.0734624
0.394 5.62257e+26 0.0735558
0.395 5.6297e+26 0.0736491
0.396 5.63683e+26 0.0737422
0.397 5.64394e+26 0.0738353
0.398 5.65104e+26 0.0739282
0.399 5.65814e+26 0.074021
0.4 5.66522e+26 0.0741137
0.401 5.6723e+26 0.0742063
0.402 5.67937e+26 0.0742988
0.403 5.68643e+26 0.0743911
0.404 5.69348e+26 0.0744834
0.405 5.70052e+26 0.0745755
0.406 5.70755e+26 0.0746675
0.407 5.71458e+26 0.0747594
0.408 5.72159e+26 0.0748512
0.409 5.7286e+26 0.0749429
0.41 5.7356e+26 0.0750344
0.411 5.74259e+26 0.0751259
0.412 5.74957e+26 0.0752172
0.413 5.75655e+26 0.0753085
0.414 5.76351e+26 0.0753996
0.415 5.77047e+26 0.0754906
0.416 5.77742e+26 0.0755815
0.417 5.78436e+26 0.0756723
0.418 5.79129e+26 0.0757629
0.419 5.79821e+26 0.0758535
0.42 5.80513e+26 0.075944
0.421 5.81203e+26 0.0760343
0.422 5.81893e+26 0.0761246
0.423 5.82582e+26 0.0762147
0.424 5.8327e+26 0.0763048
0.425 5.83958e+26 0.0763947
0.426 5.84644e+26 0.0764845
0.427 5.8533e+26 0.0765742
0.428 5.86015e+26 0.0766638
0.429 5.86699e+26 0.0767534
0.43 5.87383e+26 0.0768428
0.431 5.88065e+26 0.0769321
0.432 5.88747e+26 0.0770213
0.433 5.89428e+26 0.0771104
0.434 5.90108e+26 0.0771993
0.435 5.90788e+26 0.0772882
0.436 5.91467e+26 0.077377
0.437 5.92144e+26 0.0774657
0.438 5.92822e+26 0.0775543
0.439 5.93498e+26 0.0776428
0.44 5.94174e+26 0.0777311
0.441 5.94848e+26 0.0778194
0.442 5.95522e+26 0.0779076
0.443 5.96196e+26 0.0779957
0.444 5.96868e+26 0.0780837
0.445 5.9754e+26 0.0781716
0.446 5.98211e+26 0.0782593
0.447 5.98881e+26 0.078347
0.448 5.99551e+26 0.0784346
0.449 6.0022e+26 0.0785221
0.45 6.00888e+26 0.0786095
0.451 6.01555e+26 0.0786968
0.452 6.02221e+26 0.078784
0.453 6.02887e+26 0.0788711
0.454 6.03552e+26 0.0789581
0.455 6.04217e+26 0.079045
0.456 6.0488e+26 0.0791318
0.457 6.05543e+26 0.0792185
0.458 6.06205e+26 0.0793052
0.459 6.06867e+26 0.0793917
0.46 6.07527e+26 0.0794781
0.461 6.08187e+26 0.0795645
0.462 6.08847e+26 0.0796507
0.463 6.09505e+26 0.0797369
0.464 6.10163e+26 0.0798229
0.465 6.1082e+26 0.0799089
0.466 6.11477e+26 0.0799948
0.467 6.12132e+26 0.0800806
0.468 6.12787e+26 0.0801663
0.469 6.13442e+26 0.0802519
0.47 6.14095e+26 0.0803374
0.471 6.14748e+26 0.0804228
0.472 6.15401e+26 0.0805081
0.473 6.16052e+26 0.0805934
0.474 6.16703e+26 0.0806785
0.475 6.17353e+26 0.0807636
0.476 6.18003e+26 0.0808485
0.477 6.18652e+26 0.0809334
0.478 6.193e+26 0.0810182
0.479 6.19947e+26 0.0811029
0.48 6.20594e+26 0.0811875
0.481 6.2124e+26 0.0812721
0.482 6.21886e+26 0.0813565
0.483 6.2253e+26 0.0814408
0.484 6.23174e+26 0.0815251
0.485 6.23818e+26 0.0816093
0.486 6.24461e+26 0.0816934
0.487 6.25103e+26 0.0817774
0.488 6.25744e+26 0.0818613
0.489 6.26385e+26 0.0819451
0.49 6.27025e+26 0.0820289
0.491 6.27665e+26 0.0821125
0.492 6.28304e+26 0.0821961
0.493 6.28942e+26 0.0822796
0.494 6.29579e+26 0.082363
0.495 6.30216e+26 0.0824463
0.496 6.30852e+26 0.0825296
0.497 6.31488e+26 0.0826127
0.498 6.32123e+26 0.0826958
0.499 6.32757e+26 0.0827788
0.5 6.33391e+26 0.0828617
0.501 6.34024e+26 0.0829445
0.502 6.34657e+26 0.0830272
0.503 6.35288e+26 0.0831099
0.504 6.3592e+26 0.0831925
0.505 6.3655e+26 0.083275
0.506 6.3718e+26 0.0833574
0.507 6.37809e+26 0.0834397
0.508 6.38438e+26 0.0835219
0.509 6.39066e+26 0.0836041
0.51 6.39694e+26 0.0836862
0.511 6.40321e+26 0.0837682
0.512 6.40947e+26 0.0838501
0.513 6.41572e+26 0.083932
0.514 6.42197e+26 0.0840137
0.515 6.42822e+26 0.0840954
0.516 6.43446e+26 0.084177
0.517 6.44069e+26 0.0842586
0.518 6.44691e+26 0.08434
0.519 6.45313e+26 0.0844214
0.52 6.45935e+26 0.0845027
0.521 6.46556e+26 0.0845839
0.522 6.47176e+26 0.084665
0.523 6.47795e+26 0.0847461
0.524 6.48414e+26 0.0848271
0.525 6.49033e+26 0.084908
0.526 6.49651e+26 0.0849888
0.527 6.50268e+26 0.0850695
0.528 6.50884e+26 0.0851502
0.529 6.51501e+26 0.0852308
0.53 6.52116e+26 0.0853113
0.531 6.52731e+26 0.0853918
0.532 6.53345e+26 0.0854721
0.533 6.53959e+26 0.0855524
0.534 6.54572e+26 0.0856326
0.535 6.55185e+26 0.0857128
0.536 6.55797e+26 0.0857929
0.537 6.56408e+26 0.0858728
0.538 6.57019e+26 0.0859528
0.539 6.5763e+26 0.0860326
0.54 6.58239e+26 0.0861124
0.541 6.58849e+26 0.0861921
0.542 6.59457e+26 0.0862717
0.543 6.60065e+26 0.0863513
0.544 6.60673e+26 0.0864307
0.545 6.6128e+26 0.0865101
0.546 6.61886e+26 0.0865895
0.547 6.62492e+26 0.0866687
0.548 6.63097e+26 0.0867479
